"State","County","Collection Date","Date Detected","HPAI Strain","Bird Species","WOAH Classification","Sampling Method","Submitting Agency"
"Iowa","Tama","12/05/2023","04/16/2024","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","IA DNR"
"North Dakota","Oliver","03/27/2024","04/10/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Virginia","Norfolk","03/09/2024","04/10/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/09/2024","04/10/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Hampton","03/09/2024","04/10/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/08/2024","04/10/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/10/2024","04/10/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/12/2024","04/10/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/11/2024","04/10/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"New York","Jefferson","03/20/2024","04/10/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Jefferson","03/20/2024","04/10/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Albany","02/28/2024","04/10/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Albany","02/28/2024","04/10/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Albany","02/28/2024","04/10/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Albany","02/27/2024","04/10/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","NY DEC"
"California","El Dorado","03/13/2024","04/10/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"Pennsylvania","Cumberland","03/19/2024","04/09/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"New Jersey","Ocean","03/20/2024","04/09/2024","EA H5N1","Bufflehead","Wild bird","Morbidity/Mortality","NWDP"
"New Jersey","Ocean","03/20/2024","04/09/2024","EA H5N1","Bufflehead","Wild bird","Morbidity/Mortality","NWDP"
"New Jersey","Ocean","03/20/2024","04/09/2024","EA H5N1","Bufflehead","Wild bird","Morbidity/Mortality","NWDP"
"Pennsylvania","Northampton","03/11/2024","04/09/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","PA Game Commission"
"New York","Steuben","03/22/2024","04/09/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NY DEC"
"North Carolina","Craven","02/25/2024","04/09/2024","EA H5N1","Great horned owl","Wild bird","Morbidity/Mortality","SCWDS"
"North Carolina","Craven","02/25/2024","04/09/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","SCWDS"
"Maryland","Talbot","06/06/2023","04/09/2024","EA H5N1","Double-crested cormorant","Wild bird","Agency harvest","USGS/SCWDS"
