week,birds_affected,elapsed_weeks
202206,260490.0,0
202207,79938.0,1
202208,1146900.0,2
202209,999650.0,3
202210,2113000.0,4
202211,8621696.0,5
202212,2132100.0,6
202213,7553911.0,7
202214,1841684.0,8
202215,3858121.0,9
202216,3042450.0,10
202217,5482234.0,11
202218,367260.0,12
202219,263943.0,13
202220,147115.0,14
202221,5017.0,15
202222,30660.0,16
202223,2142229.0,17
202224,100.0,18
202225,352.0,19
202226,272.0,20
202227,100.0,21
202228,15660.0,22
202229,24170.0,23
202230,12807.0,24
202231,20.0,25
202232,130.0,26
202233,1122.0,27
202234,230650.0,28
202235,4177166.0,29
202236,125550.0,30
202237,207562.0,31
202238,1597994.0,32
202239,412430.0,33
202240,375706.0,34
202241,284416.0,35
202242,167048.0,36
202243,133069.0,37
202244,1235808.0,38
202245,1255900.0,39
202246,84408.0,40
202247,2041650.0,41
202248,359419.0,42
202249,343802.0,43
202250,4251750.0,44
202251,332500.0,45
202252,62880.0,46
202301,9260.0,47
202302,23753.0,48
202303,300210.0,49
202304,38912.0,50
202305,35500.0,51
202306,156338.0,52
202307,619.0,53
202308,130760.0,54
202309,75210.0,55
202310,10070.0,56
202311,39170.0,57
202312,8660.0,58
202313,360.0,59
202314,1400.0,60
202315,330.0,61
202316,135930.0,62
202317,20.0,63
202318,20.0,64
202319,100.0,65
202320,110.0,66
202330,1060.0,67
202331,800.0,68
202337,520.0,69
202340,189170.0,70
202341,263238.0,71
202342,192193.0,72
202343,631680.0,73
202344,1154370.0,74
202345,374603.0,75
202346,2065279.0,76
202347,2278971.0,77
202348,2335226.0,78
202349,4259850.0,79
202350,2885230.0,80
202351,1729620.0,81
202352,2524106.0,82
202401,1658000.0,83
202402,37250.0,84
202403,288110.0,85
202404,41840.0,86
202405,20.0,87
202406,202789.0,88
202407,300.0,89
202408,113100.0,90
202409,180.0,91
202410,70.0,92
202411,31570.0,93
202412,90.0,94
202413,80.0,95
202414,3822600.0,96
202415,2295300.0,97
202416,2557090.0,98
202417,131740.0,99
202418,20.0,100
