week,num_birds,elapsed_weeks
202206,260490,0
202207,79938,1
202208,1146900,2
202209,999650,3
202210,2113000,4
202211,8621696,5
202212,2132100,6
202213,7553911,7
202214,1841684,8
202215,3858121,9
202216,3042450,10
202217,5482234,11
202218,367260,12
202219,263943,13
202220,147115,14
202221,5017,15
202222,30660,16
202223,2142229,17
202224,100,18
202225,352,19
202226,272,20
202227,100,21
202228,15660,22
202229,24170,23
202230,12807,24
202231,20,25
202232,130,26
202233,1122,27
202234,230650,28
202235,4177166,29
202236,125550,30
202237,207562,31
202238,1597994,32
202239,412430,33
202240,375706,34
202241,284416,35
202242,167048,36
202243,133069,37
202244,1235808,38
202245,1255900,39
202246,84408,40
202247,2041650,41
202248,359419,42
202249,343802,43
202250,4251750,44
202251,332500,45
202252,62880,46
202301,9260,47
202302,23753,48
202303,300210,49
202304,38912,50
202305,35500,51
202306,156338,52
202307,619,53
202308,130760,54
202309,75210,55
202310,10070,56
202311,39170,57
202312,8660,58
202313,360,59
202314,1400,60
202315,330,61
202316,135930,62
202317,20,63
202318,20,64
202319,100,65
202320,110,66
202330,1060,67
202331,800,68
202337,520,69
202340,189170,70
202341,263238,71
202342,192193,72
202343,631680,73
202344,1154370,74
202345,374603,75
202346,2065279,76
202347,2278971,77
202348,2335226,78
202349,4259850,79
202350,2885230,80
202351,1729620,81
202352,2524106,82
202401,1658000,83
202402,37250,84
202403,288110,85
202404,41840,86
202405,20,87
202406,202789,88
202407,300,89
202408,113100,90
202409,180,91
202410,70,92
202411,31570,93
202412,90,94
202413,80,95
202414,3822600,96
202415,2295300,97
202416,2557090,98
202417,131740,99
