"County","State","Outbreak Date","Flock Type","Flock Size"
"Edmunds","South Dakota","12-30-2023","Commercial Upland Gamebird Producer","1400"
"Sanilac","Michigan","12-30-2022","WOAH Non-Poultry","30"
"Snohomish","Washington","12-30-2022","WOAH Poultry","180"
"Mcintosh","North Dakota","12-29-2023","WOAH Non-Poultry","110"
"Carson","Texas","12-29-2023","WOAH Non-Poultry","30"
"Pierce","Washington","12-29-2022","WOAH Non-Poultry","40"
"Sonoma","California","12-28-2023","Commercial Table Egg Layer","52400"
"Audrain","Missouri","12-28-2023","WOAH Poultry","330"
"Sonoma","California","12-28-2023","Commercial Table Egg Layer","37300"
"Marin","California","12-28-2023","Commercial Table Egg Pullets","151000"
"Missoula","Montana","12-28-2023","WOAH Non-Poultry","6"
"Elk","Kansas","12-28-2022","WOAH Non-Poultry","30"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","19000"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","43600"
"Northumberland","Pennsylvania","12-27-2023","Commercial Raised for Release Upland Game Bird","98300"
"Hardin","Ohio","12-27-2023","Commercial Table Egg Pullets","1363900"
"Muskegon","Michigan","12-27-2023","Commercial Turkey Meat Bird","31500"
"Todd","Minnesota","12-27-2023","Commercial Turkey Meat Bird","78800"
"Garfield","Oklahoma","12-27-2023","WOAH Non-Poultry","30"
"Merced","California","12-26-2023","Commercial Table Egg Layer","709000"
"Glenn","California","12-22-2022","Commercial Upland Gamebird Producer","32000"
"Dodge","Nebraska","12-21-2023","WOAH Non-Poultry","40"
"Edmunds","South Dakota","12-21-2023","Commercial Upland Gamebird Producer","3800"
"Weakley","Tennessee","12-21-2022","WOAH Poultry","28800"
"St. Clair","Illinois","12-21-2022","WOAH Non-Poultry","60"
"Bates","Missouri","12-21-2022","WOAH Non-Poultry","30"
"Umatilla","Oregon","12-21-2022","WOAH Non-Poultry","10"
"Merced","California","12-20-2023","Commercial Turkey Meat Bird","73700"
"Merced","California","12-20-2023","Commercial Table Egg Layer","243300"
"Benton","Oregon","12-20-2023","WOAH Non-Poultry","50"
"Mahaska","Iowa","12-20-2023","WOAH Non-Poultry","30"
"Charles Mix","South Dakota","12-20-2023","Commercial Upland Gamebird Producer","50"
"Gem","Idaho","12-20-2022","WOAH Non-Poultry","80"
"Hanson","South Dakota","12-20-2022","Commercial Turkey Meat Bird","31800"
"Weld","Colorado","12-20-2022","Commercial Table Egg Layer","239700"
"Sonoma","California","12-19-2023","Commercial Duck Meat Bird","3600"
"Barton","Kansas","12-19-2023","WOAH Non-Poultry","70"
"King","Washington","12-19-2023","WOAH Poultry","90"
"Mcpherson","Kansas","12-19-2023","WOAH Poultry","20000"
"Rice","Kansas","12-19-2023","Commercial Table Egg Layer","800000"
"Muskegon","Michigan","12-19-2023","Commercial Turkey Meat Bird","47900"
"Lassen","California","12-19-2023","WOAH Non-Poultry","90"
"Mendocino","California","12-19-2022","WOAH Non-Poultry","20"
"Sonoma","California","12-18-2023","WOAH Poultry","38100"
"Edmunds","South Dakota","12-18-2023","Commercial Upland Gamebird Producer","1000"
"Rice","Kansas","12-18-2023","WOAH Non-Poultry","100"
"Sonoma","California","12-18-2023","Commercial Table Egg Layer","497700"
"Weld","Colorado","12-16-2022","Commercial Table Egg Layer","1291000"
"Butte","California","12-16-2022","WOAH Non-Poultry","20"
"Duval","Florida","12-16-2022","WOAH Non-Poultry","10"
"Flathead","Montana","12-16-2022","WOAH Non-Poultry","0"
"Latah","Idaho","12-15-2023","WOAH Poultry","200"
"Waseca","Minnesota","12-15-2023","WOAH Non-Poultry","90"
"Polk","Oregon","12-15-2022","WOAH Non-Poultry","20"
"Clatsop","Oregon","12-14-2023","WOAH Non-Poultry","30"
"Darke","Ohio","12-14-2023","Commercial Table Egg Layer","522300"
"Scott","Arkansas","12-14-2023","WOAH Non-Poultry","180"
"Franklin","Washington","12-14-2022","Commercial Table Egg Layer","1015500"
"Moody","South Dakota","12-14-2022","Commercial Table Egg Layer","1332100"
"Knox","Nebraska","12-14-2022","WOAH Poultry","160"
"Redwood","Minnesota","12-14-2022","WOAH Non-Poultry","40"
"Weakley","Tennessee","12-14-2022","WOAH Poultry","37900"
"Spink","South Dakota","12-14-2022","WOAH Poultry","280"
"Rice","Kansas","12-13-2023","Commercial Table Egg Layer","700000"
"Merced","California","12-13-2023","Commercial Table Egg Layer","1358600"
"Merced","California","12-13-2023","Commercial Broiler Production","183100"
"San Joaquin","California","12-13-2023","Commercial Duck Breeder","6000"
"Weld","Colorado","12-13-2023","WOAH Non-Poultry","30"
"Mcpherson","Kansas","12-13-2023","WOAH Poultry","20000"
"Linn","Oregon","12-13-2022","WOAH Non-Poultry","20"
"Columbia","Oregon","12-13-2022","WOAH Non-Poultry","100"
"Daviess","Indiana","12-13-2022","Commercial Turkey Meat Bird","11400"
"St. Louis","Missouri","12-12-2023","WOAH Non-Poultry","20"
"Lake","South Dakota","12-12-2023","Commercial Turkey Meat Bird","76000"
"Etowah","Alabama","12-12-2023","WOAH Non-Poultry","80"
"Dutchess","New York","12-12-2023","WOAH Poultry","4200"
"Sac","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Cherokee","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Ida","Iowa","12-12-2022","Commercial Turkey Meat Bird","90000"
"Buena Vista","Iowa","12-12-2022","Commercial Turkey Meat Bird","51200"
"Wadena","Minnesota","12-12-2022","Commercial Turkey Meat Bird","298100"
"Hanson","South Dakota","12-12-2022","Commercial Turkey Meat Bird","23900"
"Olmsted","Minnesota","12-11-2023","Commercial Turkey Breeder Hens","14400"
"Clackamas","Oregon","12-09-2022","WOAH Non-Poultry","60"
"Osage","Missouri","12-09-2022","Commercial Turkey Meat Bird","19700"
"Polk","Oregon","12-09-2022","WOAH Non-Poultry","70"
"Onslow","North Carolina","12-09-2022","WOAH Non-Poultry","60"
"Prowers","Colorado","12-09-2022","Commercial Upland Gamebird Producer","11000"
"Mills","Iowa","12-08-2023","WOAH Non-Poultry","10"
"Barton","Kansas","12-08-2023","WOAH Non-Poultry","30"
"Barron","Wisconsin","12-08-2023","Commercial Turkey Meat Bird","70000"
"Charles Mix","South Dakota","12-08-2023","Commercial Turkey Meat Bird","32400"
"Hamlin","South Dakota","12-08-2022","Commercial Turkey Meat Bird","58100"
"Dodge","Minnesota","12-08-2022","Commercial Turkey Meat Bird","10000"
"Dade","Missouri","12-08-2022","WOAH Non-Poultry","30"
"Montmorency","Michigan","12-07-2023","WOAH Poultry","100"
"Sonoma","California","12-07-2023","Commercial Duck Meat Bird","4900"
"Orleans","Vermont","12-07-2023","WOAH Non-Poultry","40"
"Hardin","Ohio","12-07-2023","Commercial Table Egg Layer","2613600"
"Stanislaus","California","12-07-2023","Commercial Broiler Production","258600"
"Darke","Ohio","12-07-2023","Commercial Turkey Meat Bird","15200"
"Carroll","Arkansas","12-07-2023","Commercial Turkey Meat Bird","33300"
"Kingsbury","South Dakota","12-07-2022","WOAH Non-Poultry","70"
"Cherokee","Iowa","12-07-2022","Commercial Turkey Meat Bird","105000"
"Sac","Iowa","12-07-2022","Commercial Turkey Meat Bird","40000"
"Sonoma","California","12-06-2023","Commercial Table Egg Layer","232000"
"Becker","Minnesota","12-06-2023","Commercial Breeder Operation","20600"
"Todd","Minnesota","12-06-2023","Commercial Turkey Meat Bird","64000"
"Bon Homme","South Dakota","12-06-2023","Commercial Turkey Meat Bird","47600"
"Hamlin","South Dakota","12-06-2023","Commercial Turkey Meat Bird","56200"
"Pawnee","Oklahoma","12-06-2022","WOAH Non-Poultry","30"
"Harrison","Missouri","12-06-2022","WOAH Non-Poultry","30"
"Larimer","Colorado","12-06-2022","WOAH Non-Poultry","2"
"Lamoille","Vermont","12-06-2022","WOAH Non-Poultry","50"
"Denton","Texas","12-06-2022","WOAH Non-Poultry","40"
"Otter Tail","Minnesota","12-05-2023","Commercial Turkey Meat Bird","26300"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","254400"
"Shawnee","Kansas","12-05-2023","WOAH Non-Poultry","70"
"Kingsbury","South Dakota","12-05-2023","WOAH Non-Poultry","370"
"Spink","South Dakota","12-05-2023","Commercial Turkey Meat Bird","26600"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","239900"
"Charles Mix","South Dakota","12-05-2022","Commercial Turkey Meat Bird","34100"
"Clark","South Dakota","12-05-2022","Commercial Turkey Meat Bird","24300"
"Lawrence","Alabama","12-05-2022","WOAH Non-Poultry","460"
"Buena Vista","Iowa","12-05-2022","Commercial Turkey Meat Bird","40700"
"Mcpherson","South Dakota","12-04-2023","Commercial Turkey Meat Bird","40800"
"Johnson","Arkansas","12-04-2023","Commercial Broiler Production","109000"
"Pottawatomie","Kansas","12-04-2023","WOAH Non-Poultry","30"
"Barron","Wisconsin","12-04-2023","Commercial Turkey Meat Bird","113800"
"Union","North Carolina","12-02-2022","WOAH Non-Poultry","9"
"Clark","South Dakota","12-02-2022","WOAH Non-Poultry","40"
"Knox","Nebraska","12-02-2022","WOAH Non-Poultry","10"
"Canyon","Idaho","12-01-2023","WOAH Non-Poultry","20"
"Darke","Ohio","12-01-2023","Commercial Turkey Meat Bird","33000"
"Woodbury","Iowa","12-01-2023","WOAH Non-Poultry","40"
"Bay","Michigan","12-01-2023","WOAH Non-Poultry","60"
"Lake","South Dakota","12-01-2022","Commercial Turkey Meat Bird","78000"
"Arkansas","Arkansas","12-01-2022","WOAH Non-Poultry","20"
"Jackson","Missouri","12-01-2022","WOAH Non-Poultry","30"
"Brookings","South Dakota","12-01-2022","WOAH Non-Poultry","210"
"Bent","Colorado","11-30-2023","WOAH Poultry","4100"
"San Benito","California","11-30-2023","Commercial Duck Breeder","5000"
"Minnehaha","South Dakota","11-30-2023","WOAH Non-Poultry","80"
"Sonoma","California","11-30-2023","Commercial Table Egg Layer","82500"
"Lewis And Clark","Montana","11-30-2023","WOAH Non-Poultry","6"
"Grundy","Illinois","11-30-2022","WOAH Poultry","8800"
"Charles Mix","South Dakota","11-30-2022","Commercial Turkey Meat Bird","75100"
"Hamlin","South Dakota","11-30-2022","Commercial Turkey Meat Bird","50000"
"Otter Tail","Minnesota","11-29-2023","Commercial Turkey Meat Bird","18800"
"Becker","Minnesota","11-29-2023","Commercial Turkey Breeder Hens","23200"
"Douglas","Minnesota","11-29-2023","Commercial Turkey Meat Bird","13500"
"Dickey","North Dakota","11-29-2023","WOAH Poultry","130"
"Woodbury","Iowa","11-29-2023","WOAH Non-Poultry","10"
"Morgan","Colorado","11-29-2023","WOAH Non-Poultry","60"
"Carroll","Arkansas","11-29-2023","Commercial Broiler Production","81200"
"Hanson","South Dakota","11-29-2022","Commercial Turkey Meat Bird","71600"
"Spink","South Dakota","11-29-2022","Commercial Turkey Meat Bird","32900"
"Washington","Maryland","11-29-2022","Commercial Table Egg Breeder","24600"
"Colfax","Nebraska","11-28-2023","WOAH Non-Poultry","20"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","48700"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","23500"
"Mcpherson","South Dakota","11-28-2023","Commercial Turkey Meat Bird","61800"
"Pierce","Washington","11-28-2023","WOAH Non-Poultry","540"
"Emmons","North Dakota","11-28-2023","WOAH Non-Poultry","60"
"Dickey","North Dakota","11-28-2023","Commercial Turkey Meat Bird","60300"
"Sioux","Iowa","11-28-2023","Commercial Table Egg Layer","1616300"
"Yankton","South Dakota","11-28-2023","Commercial Turkey Meat Bird","49000"
"Webster","Missouri","11-28-2022","Commercial Turkey Meat Bird","15100"
"Iron","Utah","11-28-2022","WOAH Poultry","3000"
"Brown","Minnesota","11-27-2023","Commercial Turkey Breeder Hens","7800"
"Sonoma","California","11-27-2023","Commercial Duck Breeder","205500"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","67900"
"Spink","South Dakota","11-25-2022","Commercial Turkey Meat Bird","55500"
"Matanuska Susitna","Alaska","11-25-2022","WOAH Non-Poultry","40"
"Turner","South Dakota","11-25-2022","WOAH Non-Poultry","210"
"Durham","North Carolina","11-25-2022","WOAH Non-Poultry","30"
"Dixon","Nebraska","11-25-2022","Commercial Table Egg Layer","1700000"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","50700"
"Kandiyohi","Minnesota","11-24-2023","Commercial Turkey Breeder Hens","7300"
"Otter Tail","Minnesota","11-24-2023","Commercial Breeder Operation","19400"
"Clackamas","Oregon","11-24-2023","WOAH Non-Poultry","10"
"Freeborn","Minnesota","11-24-2023","WOAH Non-Poultry","8"
"Columbia","Oregon","11-23-2022","WOAH Non-Poultry","30"
"Brule","South Dakota","11-23-2022","WOAH Non-Poultry","30"
"Davidson","Tennessee","11-23-2022","WOAH Non-Poultry","10"
"Todd","Minnesota","11-23-2022","Commercial Turkey Meat Bird","44500"
"Faulk","South Dakota","11-23-2022","Commercial Turkey Meat Bird","49900"
"Broward","Florida","11-23-2022","WOAH Non-Poultry","10"
"Otter Tail","Minnesota","11-22-2023","Commercial Turkey Meat Bird","28000"
"Stearns","Minnesota","11-22-2023","Commercial Turkey Meat Bird","34200"
"Brule","South Dakota","11-22-2023","Commercial Turkey Meat Bird","45100"
"Trempealeau","Wisconsin","11-22-2023","Commercial Turkey Meat Bird","51300"
"Beadle","South Dakota","11-22-2022","Commercial Turkey Meat Bird","29200"
"Webster","Missouri","11-22-2022","WOAH Poultry","9100"
"Big Stone","Minnesota","11-21-2023","Commercial Turkey Meat Bird","78500"
"Union","Ohio","11-21-2023","Commercial Table Egg Layer","1348900"
"Kandiyohi","Minnesota","11-21-2023","Commercial Breeder Operation","8400"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","57400"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","23600"
"Brown","Minnesota","11-21-2023","Commercial Turkey Breeder Hens","6400"
"Kingsbury","South Dakota","11-21-2023","Commercial Turkey Meat Bird","28800"
"Caroline","Maryland","11-21-2023","Commercial Broiler Production","192900"
"Sumter","Georgia","11-21-2023","Commercial Raised for Release Waterfowl","30000"
"Beadle","South Dakota","11-21-2023","Commercial Turkey Meat Bird","78200"
"Grimes","Texas","11-21-2023","WOAH Non-Poultry","60"
"Broward","Florida","11-21-2023","WOAH Non-Poultry","5"
"Edmunds","South Dakota","11-21-2022","Commercial Turkey Meat Bird","34400"
"Washington","Maine","11-21-2022","WOAH Non-Poultry","90"
"Walworth","South Dakota","11-20-2023","WOAH Non-Poultry","0"
"Taylor","Wisconsin","11-20-2023","WOAH Non-Poultry","8"
"Day","South Dakota","11-20-2023","WOAH Poultry","60"
"Swift","Minnesota","11-20-2023","Commercial Turkey Meat Bird","134300"
"San Juan","New Mexico","11-20-2023","WOAH Non-Poultry","20"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Replacement Hens","30100"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Meat Bird","33400"
"Fresno","California","11-20-2023","Commercial Duck Breeder","23400"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Hens","19200"
"Utah","Utah","11-18-2022","WOAH Non-Poultry","270"
"Union","North Carolina","11-18-2022","WOAH Non-Poultry","50"
"Fall River","South Dakota","11-17-2023","WOAH Non-Poultry","80"
"Broward","Florida","11-17-2022","WOAH Non-Poultry","20"
"Berks","Pennsylvania","11-17-2022","WOAH Non-Poultry","30"
"Stearns","Minnesota","11-16-2023","Commercial Turkey Meat Bird","43100"
"Benton","Iowa","11-16-2023","WOAH Non-Poultry","90"
"Duval","Florida","11-16-2023","WOAH Non-Poultry","50"
"Marion","Oregon","11-16-2023","Commercial Broiler Production","123500"
"Linn","Oregon","11-16-2023","Commercial Broiler Production","630700"
"Fresno","California","11-16-2022","Commercial Duck Breeder","34700"
"Seminole","Florida","11-16-2022","WOAH Poultry","100"
"Hillsborough","Florida","11-16-2022","WOAH Non-Poultry","100"
"Cass","Michigan","11-15-2023","WOAH Non-Poultry","20"
"Lamoure","North Dakota","11-15-2023","Commercial Turkey Meat Bird","25100"
